Date,Price,Open,High,Low,Vol.,Change %
Jun 12,1603.5,1560,1639.7,1545.5,10.99K,0.0262
Jul 12,1610.5,1597.1,1627.5,1557.2,59.61K,0.0044
Aug 12,1684.6,1613.4,1690,1583.1,11.42K,0.046
Sep 12,1771.1,1689.1,1785.3,1687.7,10.33K,0.0513
Oct 12,1717.5,1766,1794.8,1698.6,2.63K,-0.0303
Nov 12,1710.9,1722.3,1750.5,1674.3,69.65K,-0.0038
Dec 12,1674.8,1714.9,1722.3,1635.8,6.82K,-0.0211
Jan 13,1660.6,1672.8,1694.7,1625.7,51.88K,-0.0085
Feb 13,1577.7,1663.9,1683.4,1554.5,10.81K,-0.0499
Mar 13,1594.8,1579.6,1613.1,1561.8,58.37K,0.0108
Apr 13,1472.2,1596.8,1602.6,1323,14.30K,-0.0769
May 13,1392.6,1475.8,1487.1,1342.9,53.45K,-0.0541
Jun 13,1223.8,1389.1,1422.7,1183.2,12.13K,-0.1212
Jul 13,1312.4,1234.7,1345.1,1208.9,51.81K,0.0724
Aug 13,1396.1,1323,1428,1274,10.14K,0.0638
Sep 13,1326.5,1393,1414.4,1292.1,4.59K,-0.0499
Oct 13,1323.6,1328,1359.7,1254.1,2.56K,-0.0022
Nov 13,1250.6,1325.7,1325.7,1229,92.25K,-0.0552
Dec 13,1201.9,1251.4,1267,1182,14.56K,-0.0389
Jan 14,1240.1,1204.3,1269.4,1204.3,52.67K,0.0318
Feb 14,1321.4,1242.4,1344,1241.2,11.52K,0.0656
Mar 14,1283.4,1335.9,1391.4,1282.4,70.78K,-0.0288
Apr 14,1295.6,1285.1,1330,1272.4,7.94K,0.0095
May 14,1245.6,1288.7,1314.2,1241.8,42.32K,-0.0386
Jun 14,1321.8,1250,1328.7,1240.5,10.00K,0.0612
Jul 14,1281.3,1326.7,1343.7,1280.6,43.10K,-0.0306
Aug 14,1285.8,1284.1,1322.1,1272,8.89K,0.0035
Sep 14,1210.5,1284.5,1286.4,1204,8.21K,-0.0586
Oct 14,1171.1,1207.7,1247,1161.4,3.88K,-0.0325
Nov 14,1175.2,1166.4,1202.4,1132.9,88.66K,0.0035
Dec 14,1335.4,1335.4,1335.4,1346.7,11.02K,0.1363
Jan 15,1384.6,1340,1391.1,1340,0.01K,0.0368
Feb 15,1309.4,1367,1367,1323.3,0.00K,-0.0543
Mar 15,1272.2,1272.2,1272.2,1272.2,42.95K,-0.0284
Apr 15,1273,1273,1273,1273,7.45K,0.0006
May 15,1280.7,1317.5,1318.2,1276.5,0.00K,0.006
Jun 15,1270.8,1264,1266.8,1263,0.01K,-0.0077
Jul 15,1183.1,1268.5,1268.5,1268,0.00K,-0.069
Aug 15,1216.9,1216.9,1216.9,1216.9,12.82K,0.0286
Sep 15,1183.6,1188.4,1188.4,1188.4,0.00K,-0.0274
Oct 15,1195.2,1195.2,1195.2,1195.2,0.15K,0.0098
Nov 15,1123.9,1131,1138.4,1131,0.02K,-0.0597
Dec 15,1121,1121,1121,1121,9.97K,-0.0026
Jan 16,1161.9,1161.9,1161.9,1161.9,0.00K,0.0365
Feb 16,1273.3,1220.4,1269,1220.4,0.01K,0.0959
Mar 16,1280.9,1304,1304,1269.7,0.01K,0.006
Apr 16,1341.4,1341.4,1341.4,1341.4,0.30K,0.0472
May 16,1269.3,1269.3,1269.3,1269.3,0.00K,-0.0537
Jun 16,1375,1375,1375,1375,0.06K,0.0833
