Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt,% Low movt,Yearly Gainner,27th Dec,1st Feb,1st March,1st April,TB,RH,Corr,PeRatio,New Pe,W52_High,Corre,latest,Annual_Pat,Cum PAT 3 Quarter,Pat Jump,Annual Growth,Year End,Mar_17_ReportedPAT,Dec_16_ReportedPAT,Sep_16_ReportedPAT,Jun_16_ReportedPAT,Mar_16_ReportedPAT,Dec_15_ReportedPAT,Y oY PAT,LQ>0.5(4q's),PAT Growth,PeRatio,ResultDate,Mar_17_Inst_no_of_shares,Dec_16_Inst_no_of_shares,Int/ Incr/ Decr,Pledge,DividendYield,DERatio,FB,Mar_17_Eps_Before,Dec_16_Eps_Before,Sep_16_Eps_Before,Jun_16_Eps_Before,Mar_16_Eps_Before,Dec_15_Eps_Before,Annual_Eps,Volume,MarketCap,Annual_Pat,EquityCapital,FaceValue,New Listing,PE High Price High,Future,Cap Category
GODREJCP,Exit,FMCG,#N/A,#N/A,1924.05,-2.02,1928.8,1882.45,0.002462671,0.022098861,24%,35%,22%,17%,15%,,1840.1,-5%,53.55,46.56461762,1958.35,2%,,1158.89,917.21,-241.68,G,,389.94,351.64,320.68,244.89,309.64,368.69,Y,,Y,53.55,42864,719,715,4,0,0.15,0.52,FB,11.44,10.33,9.34,7.17,9.1,10.8,32.86,32.7044382,65533,1158.89,34.06,1,,,,LargeCap
GODREJIND,RS,FMCG,#N/A,#N/A,566.35,0.69,574.8,564.45,0.014700765,0.003366109,47%,43%,34%,13%,12%,,578,2%,54.18,54,578,2%,42877,453.65,136.32,-317.33,,,0,52.43,42.83,41.06,98.93,57.15,Y,,Y,54.18,42877,208,195,13,0,0.3,1.89,FB,0,2.61,2.3,1.7,3.45,3.09,14.42,20.95415331,19037,453.65,33.61,1,,,,LargeCap
GODREJPROP,Exit,REALTY,0,0,528.1,-2.1,532.45,512.65,0.008169781,0.030137521,32%,81%,60%,45%,37%,,586,10%,55.18,37,586,10%,,289.4139,129.9093,-159.5046,,,52.187,74.4185,14.5303,40.9605,38.5821,71.6689,Y,,Y,55.18,42859,103,97,6,0,0,1.51,FB,2.89,3.59,1.1,2.02,0.83,2.6,10.96,7.405068143,11426,289.4139,108.182,5,,,,MidCap
GOKEX,Exit,TEXTILES AND APPAREL,0,0,85.55,0,0,0,#DIV/0!,#DIV/0!,16%,53%,36%,43%,21%,,86.9,2%,0,-3.41108453,134,36%,42874,61.336,-61.4192,-122.7552,,,0,-21.8438,-27.7675,-11.8079,40.7685,25.9238,,,,0,42874,5,4,1,100,0,1.45,FB,0,-6.27,-7.97,-3.39,11.59,7.38,17.37,0.971049884,299,61.336,17.4638,5,,,,MiniCap
GOKUL,RS,FMCG-FOOD,#N/A,#N/A,28.75,#N/A,#N/A,#N/A,#N/A,#N/A,115%,41%,23%,32%,22%,,29.3,2%,77.1,359,29.3,2%,42780,11.1711,3.8793,-7.2918,,,0,0.278,1.9595,1.6418,1.1681,1.3076,,,,77.1,42780,1,2,-1,15.27,0,0.47,FB,0,0.02,0.15,0.12,0.09,0.1,0.66,0.098402398,379,11.1711,26.379,2,,,RS2,MiniCap
GOKULAGRO,HWLV,FMCG-FOOD,#N/A,#N/A,31.3,-2.08,31.5,30.4,0.006349206,0.029605263,176%,62%,63%,31%,22%,,34.4,9%,20.23,34,34.4,9%,,9.4059,11.3963,1.9904,,,8.8496,3.0618,4.7853,3.5492,7.734,1.9838,Y,,Y,20.23,42860,1,1,0,15.68,0,1.21,,0.67,0.23,0.36,0.27,0,0,0.71,0.44817351,413,9.4059,26.379,2,,,,MiniCap
GOLDENTOBC,Exit,FMCG-FOOD,#N/A,#N/A,67.85,#N/A,#N/A,#N/A,#N/A,#N/A,106%,17%,13%,-1%,-9%,,85.8,21%,0,-3,85.8,21%,42779,-36.6946,-29.9157,6.7789,,,0,-10.2235,-9.435,-10.2572,-9.8142,-9.712,,,,0,42779,27,27,0,0,0,-0.21,FB,0,-5.81,-5.36,-5.83,-5.58,-5.52,-20.86,0.593555931,119,-36.6946,17.588,10,,,,MiniCap
GOLDIAM,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,89.9,#N/A,#N/A,#N/A,#N/A,#N/A,115%,45%,15%,24%,4%,,99.7,10%,7.29,9,99.8,10%,42881,33.0097,23.4594,-9.5503,,,0,6.3095,7.8356,9.3143,7.6574,14.6808,,Y,Y,7.29,42881,3,4,-1,0,2.78,0.17,,0,2.43,3.12,3.72,3,5.86,13.03,0.16166959,224,33.0097,24.946,10,,,,MiniCap
GOLDINFRA,RS,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,96.85,#N/A,#N/A,#N/A,#N/A,#N/A,383%,279%,212%,93%,29%,,105.7,8%,63.28,73,107.6,10%,42777,5.7962894,3.1852,-2.6110894,,,0,1.1835,1.3006,0.7011,2.3573,0.8729,Y,,Y,63.28,42777,3,3,0,0,0,0.58,FB,0,0.33,0.36,0.19,0.65,0.24,1.61,1.025663969,349,5.7962894,14.4323,4,,,,MiniCap
GOLDTECH,Exit,IT,#N/A,#N/A,14.45,#N/A,#N/A,#N/A,#N/A,#N/A,,141%,104%,50%,28%,,18.25,21%,0,-7.083333333,18.25,21%,42780,-1.196,-3.195,-1.999,,,0,-0.953,-1.438,-0.804,1.159,-0.849,,,,0,42780,2,2,0,0,0,0.17,FB,0,-0.51,-0.77,-0.43,0.62,-0.45,-0.63,0.015027408,27,-1.196,18.782,10,,,,MiniCap
GOODLUCK,HWLV,METALS AND MINING,#N/A,#N/A,90.5,#N/A,#N/A,#N/A,#N/A,#N/A,-10%,12%,-1%,8%,7%,TB,97.3,7%,5.96,33,134.3,33%,42776,32.8116,13.6321,-19.1795,,,0,1.5206,4.4106,7.7009,6.7001,7.8104,,,,5.96,42776,5,5,0,0,1.65,1.61,,0,0.69,2,3.5,3.05,3.54,14.91,0.416869378,199,32.8116,4.4013,2,,,,MiniCap
GPIL,Exit,METALS AND MINING,#N/A,#N/A,96.15,0.1,97.85,96,0.017373531,0.0015625,130%,69%,9%,-1%,-18%,,123.4,22%,0,-6,123.4,22%,42773,-103.54,-88.5,15.04,,,0,-13.58,-45.22,-29.7,-39.36,-18.96,,,,0,42773,4,5,-1,33.75,0,2.07,FB,0,-4.15,-13.8,-9.07,-12.02,-5.79,-29.57,1.752855358,339,-103.54,32.76,10,,,,MiniCap
GPPL,HWV,TRANSPORTATION LOGISTICS,0,0,159.9,2.66,167,160.05,0.04251497,-0.000937207,-1%,30%,15%,5%,-3%,TB,179,11%,33.26,30,197.8,19%,42866,236.657,183.7166,-52.9404,G,,0,64.5441,59.4178,59.7547,49.8316,53.3,Y,,Y,33.26,42866,176,183,-7,0,1.18,0,,0,1.34,1.23,1.24,1.03,1.1,5.55,5.035256249,7730,236.657,483.4399,10,,,,MidCap
GPTINFRA,NL,REALTY-HOUSEHOLD,#N/A,#N/A,241,#N/A,#N/A,#N/A,#N/A,#N/A,,10%,0%,0%,0%,,274.6,12%,24.25,29,307,21%,42775,12.8221,11.4732,-1.3489,,,0,3.0165,3.0265,5.4302,3.3275,3.4471,Y,,Y,24.25,42775,1,2,-1,51,0.82,1.35,FB,0,2.07,2.12,3.52,2.69,2.47,8.94,0.163968587,350,12.8221,14.543,10,GPTINFRA,,,MiniCap
GRANULES,Exit,PHARMA,#N/A,#N/A,142.25,0.46,144.25,142,0.013864818,0.001760563,18%,40%,30%,6%,2%,,153.95,8%,21.38,20.09180791,153.95,8%,42866,118.4676,103.5079,-14.9597,G,,0,35.9111,35.7237,31.8731,33.1857,27.1545,Y,,Y,21.38,42866,92,83,9,78.08,0.45,0.63,FB,0,1.77,1.85,1.75,1.57,1.26,5.62,20.9352758,3253,118.4676,22.1219,1,,,,SmallCap
GRAPHITE,HWV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,118.3,0.21,122,118.1,0.030327869,0.00169348,59%,65%,24%,13%,6%,,136.9,14%,33.69,25,136.9,14%,42780,61.46,50.31,-11.15,G,,0,23.38,15.94,10.99,18.61,19.7,Y,,Y,33.69,42780,152,142,10,0,1.69,0.17,,0,1.2,0.82,0.56,0.96,1,3.15,2.887966562,2311,61.46,39.08,2,,,RS2,SmallCap
GRASIM,Buy,TEXTILES AND APPAREL,#N/A,#N/A,1166.45,-0.57,1174.65,1156.85,0.006980803,0.008298397,41%,46%,27%,18%,11%,,1208.7,3%,17.55,19,1218,4%,42874,3124.21,3044.63,-79.58,G,,0,918.63,1033.08,1092.92,956.46,825.83,Y,,Y,17.55,42874,794,610,184,0.84,0.38,0.38,,0,15.58,18.1,88.84,74.5,13.71,252.52,157.2551291,54457,3124.21,93.37,2,,,,LargeCap
GRAVITA,HWLV,METALS AND MINING,0,0,71.65,2.44,74.95,70.5,0.044029353,0.016312057,120%,85%,68%,56%,41%,,66,-9%,24.62,17,72.7,1%,42870,5.4829,22.2619,16.779,G,New Listing,0,7.9568,7.8898,6.4153,0.0526,-1.5055,Y,,Y,24.62,42870,4,6,-2,0,0.27,0.82,,0,1.07,0.99,0.86,0.03,-0.21,0.63,1.472683835,491,5.4829,13.6935,2,,,,MiniCap
GREAVESCOT,Buy,INFRA-MACHINERY EQUIPMENT,0,0,162.35,-2.49,164.45,157.55,0.012769839,0.030466519,44%,40%,20%,-1%,-7%,,178.55,9%,21.91,22,178.55,9%,,200.41,133.89,-66.52,,,46.76,44.1,51.25,38.54,38.31,62.89,Y,,Y,21.91,42859,126,127,-1,0,3.38,0,,0,1.81,2.1,1.58,1.57,2.58,8.21,7.428536738,3965,200.41,48.84,2,,,,SmallCap
GREENFIRE,Exit,FINANCIAL SERVICES,#N/A,#N/A,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,-28%,-50%,-40%,-38%,-18%,TB,1.6,44%,0,-11.25,3.1,71%,42758,-5.2017,-0.735,4.4667,,,0,-0.2014,-0.2589,-0.2747,-0.3254,-3.2103,,,,0,42758,1,0,1,0,0,-0.98,FB,0,-0.02,-0.03,-0.03,-0.03,-0.33,-0.27,0.031661563,9,-5.2017,9.7394,1,,,,MiniCap
GREENLAM,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,642,#N/A,#N/A,#N/A,#N/A,#N/A,35%,7%,4%,2%,-2%,TB,717.85,11%,40.52,50,860,25%,42773,37.7082,25.6727,-12.0355,,,0,7.7084,8.9735,8.9908,13.0498,11.6834,Y,,Y,40.52,42773,16,16,0,0,0.15,1.08,,0,3.2,3.71,3.73,5.41,4.84,15.69,0.127037948,1550,37.7082,12.0682,5,,,,SmallCap
GREENPLY,BWLV,REALTY-HOUSEHOLD,timber,0,286.9,1.43,292,287.9,0.017465753,-0.003473428,64%,20%,12%,-2%,3%,,308,7%,26.25,37,308,7%,42759,127.6918,93.2033,-34.4885,,,0,24.0013,35.0945,34.1075,41.3044,35.3444,Y,,Y,26.25,42759,52,54,-2,0,0.2,0.32,,0,1.96,2.88,2.83,3.42,14.64,10.58,1.059321254,3518,127.6918,12.2627,1,,,,SmallCap
GREENPOWER,Exit,INFRA-POWER,#N/A,#N/A,9.9,#N/A,#N/A,#N/A,#N/A,#N/A,-15%,8%,-6%,-6%,2%,TB,11.8,16%,0,-3.344594595,12.15,19%,42872,-340.3183,-9.9108,330.4075,,,0,-69.6622,82.3945,-22.6431,-157.7896,-111.4571,,,,0,42872,9,10,-1,50.4,0,2.38,FB,0,-0.74,0.71,-0.05,-2.14,-1.58,-5.13,0.350804286,732,-340.3183,739.7997,10,,,,MiniCap
GRINDWELL,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,389.45,0.71,395.8,387.05,0.016043456,0.006200749,-45%,22%,25%,18%,10%,TB,405.95,4%,36.56,40,770,49%,42878,105.76,86.71,-19.05,G,,0,27.72,29.49,29.5,31.08,22.93,Y,,Y,36.56,42878,73,70,3,0,1.66,0.02,,0,2.44,2.64,2.63,5.52,4.11,18.9,0.544957846,4312,105.76,55.36,5,,,,SmallCap
GROBTEA,NL,FMCG-BEVERAGES,#N/A,#N/A,342.55,#N/A,#N/A,#N/A,#N/A,#N/A,,35%,,10%,19%,,380,10%,17.83,3,380,10%,42777,4.6922,11.3241,6.6319,,,0,3.9523,7.2655,0.1063,-9.0913,5.3425,Y,,Y,17.83,42777,0,0,,0,0.58,0.2,FB,0,34,62.51,0.91,-78.22,45.97,40.37,0.036986548,40,4.6922,1.1623,10,GROBTEA,,,MiniCap
GRPLTD,HWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,1650,#N/A,#N/A,#N/A,#N/A,#N/A,,,1%,4%,3%,,1799.9,8%,20.37,43,1814.1,9%,42769,7.9143,7.8446,-0.0697,,,0,1.2661,2.7322,3.8463,2.9647,3.0664,,,,20.37,42769,3,3,0,0,0.6,0.47,,0,9.5,20.49,28.85,22.24,23,59.34,0.074668704,220,7.9143,1.3333,10,,,,MiniCap
GRUH,RS,FINANCIAL SERVICES-NBFC,0,0,421.1,0.37,426,420,0.011502347,0.002619048,70%,40%,25%,13%,6%,,438.7,4%,51.68,60,438.7,4%,,243.58,186.2,-57.38,G,,110.45,64.04,61.98,60.18,87.82,53.74,Y,,Y,51.68,42842,147,142,5,0,0.66,10.36,FB,3.03,1.76,1.7,1.65,2.41,1.47,6.7,9.396429555,15352,243.58,72.79,2,,,,LargeCap
GSCLCEMENT,Exit,CEMENTS,#N/A,#N/A,30.95,#N/A,#N/A,#N/A,#N/A,#N/A,9%,33%,23%,16%,15%,,34.75,11%,0,-9.794303797,36.2,15%,42760,-8.2434,-26.1067,-17.8633,,,0,-6.7761,-22.5422,3.2116,3.6458,4.2117,,,,0,42760,27,28,-1,0,0,0.12,FB,0,-0.79,-2.62,0.37,0.49,0.59,0.1,0.123244045,267,-8.2434,86.2069,10,,,,MiniCap
GSFC,Buy,FERTILISERS,Phosphoric Acid/ NATURAL GAS,DOWN,145.35,-3.2,146.25,140,0.006153846,0.038214286,106%,62%,36%,21%,11%,,144,-1%,21.88,24,148.5,2%,42758,379.85,232.48,-147.37,,,0,61.17,125.01,46.3,32.57,103.24,Y,,Y,21.88,42758,146,147,-1,0,1.51,0.25,,0,1.54,3.14,1.16,0.82,2.59,9.72,20.37260549,5792,379.85,79.7,2,,,,MidCap
GSKCONS,HWV,FMCG,0,0,5346.9,-1.44,5398,5257.1,0.009466469,0.017081661,-13%,8%,6%,5%,4%,TB,5575.95,4%,34.04,41,6600,19%,42866,686.91,480.74,-206.17,,,0,136.41,183.72,160.61,180.68,148.68,Y,,Y,34.04,42866,234,248,-14,0,1.3,0,,0,32.43,43.69,38.19,42.96,35.35,163.34,8.580582383,22487,686.91,42.06,10,,,,LargeCap
GSPL,Buy,ENERGY-OIL & GAS,0,0,178.35,-0.03,181.85,178,0.019246632,0.001966292,26%,40%,18%,15%,10%,,204.3,13%,21.49,21,204.3,13%,42880,427.9532,369.6514,-58.3018,G,,0,118.5572,129.8319,121.2623,99.7089,123.8451,Y,,Y,21.49,42880,246,240,6,0,0.84,0.2,,0,2.1,2.27,2.15,1.77,2.2,8.25,8.660384062,10052,427.9532,563.5174,10,,,,MidCap
GSS,HWLV,IT,#N/A,#N/A,25.65,#N/A,#N/A,#N/A,#N/A,#N/A,2%,6%,5%,5%,6%,TB,32.9,22%,11.7,10,38.5,33%,42776,3.7004,-44.3811,-48.0815,,,0,1.1351,-46.2253,0.7091,-1.8445,1.4125,Y,,Y,11.7,42776,3,3,0,0,0,0.11,,0,0.67,-27.29,0.42,-1.09,0.83,2.18,0.023726836,43,3.7004,16.9368,10,,,,MiniCap
GTL,Exit,INFRA-TELECOM,#N/A,#N/A,17,#N/A,#N/A,#N/A,#N/A,#N/A,53%,13%,6%,-9%,-1%,,20.15,16%,0,-1,24.6,31%,,-2915.491,-459.3282,2456.1628,,,-170.5331,-115.9788,-118.0415,-225.3079,-109.4569,-1349.8308,,,,0,42852,29,29,0,98.99,0,-0.59,FB,-10.84,-7.37,-7.5,-14.32,-6.96,-85.82,-186.48,0.535410115,267,-2915.491,157.2968,10,,,,MiniCap
GTLINFRA,Exit,INFRA-TELECOM,#N/A,#N/A,5.4,-0.93,5.45,5.3,0.009174312,0.018867925,183%,29%,29%,3%,-6%,,6.85,21%,0,-3,7,23%,,-605.4,-309.7,295.7,,,7.61,-114.26,-60.43,-135.01,-92.75,-90.07,,,,0,42852,44,40,4,100,0,-38.57,FB,0.03,-0.47,-0.26,-0.58,-0.4,-0.39,-3.19,1.5671822,2242,-605.4,2460.08,10,,,,SmallCap
GTNIND,Exit,TEXTILES AND APPAREL,#N/A,#N/A,20.15,#N/A,#N/A,#N/A,#N/A,#N/A,109%,62%,18%,26%,12%,,26.4,24%,13.76,-4,26.4,24%,42881,-4.42,-4.61,-0.19,,,0,-2.01,0.29,-2.89,7.16,-0.03,,,,13.76,42881,14,14,0,51.21,0,25.66,FB,0,-1.14,0.16,-1.65,4.06,-0.08,-2.69,0.026991305,35,-4.42,17.55,10,,,,MiniCap
GTNTEX,Exit,TEXTILES AND APPAREL,#N/A,#N/A,19.9,#N/A,#N/A,#N/A,#N/A,#N/A,106%,67%,40%,40%,8%,,26.5,25%,0,-7,26.5,25%,42873,-6.9781,-8.9,-1.9219,,,0,-0.82,-3.22,-4.86,-0.89,-1.98,,,,0,42873,14,14,0,0,0,39.47,FB,0,-0.71,-2.76,-4.18,-0.76,-1.7,-6.3,0.016744058,23,-6.9781,11.64,10,,,,MiniCap
GTOFFSHORE,Exit,ENERGY-OIL & GAS,#N/A,#N/A,16.2,#N/A,#N/A,#N/A,#N/A,#N/A,-61%,-26%,-34%,-18%,5%,TB,26.4,39%,0,-0.352480418,46.95,65%,42780,-693.42,-412.24,281.18,,,0,-89.87,-239.47,-82.9,-790.11,-19.62,,,,0,42780,189,191,-2,0,0,8.96,FB,0,-11.49,-43.6,-22.26,-212.17,-5.27,-186.2,0.48778481,128,-693.42,78.87,10,,,,MiniCap
GUFICBIO,HWLV,PHARMA,#N/A,#N/A,66.4,#N/A,#N/A,#N/A,#N/A,#N/A,67%,30%,9%,17%,0%,,74,10%,49.07,42,74,10%,42780,7.3242,8.291,0.9668,,,0,3.1013,2.6371,2.5526,2.2151,2.4177,Y,,Y,49.07,42780,3,3,0,0,0.07,1.18,,0,0.4,0.34,0.33,0.29,0.31,0.95,1.195868659,514,7.3242,7.735,1,,,,MiniCap
GUJALKALI,Buy,CHEMICALS,NATURAL GAS,Down,456.8,1.6,468.9,463.45,0.025805076,-0.014348905,152%,42%,22%,20%,12%,,484.05,6%,10.01,18,484.05,6%,42762,221.67,221,-0.67,G,,0,47.32,87.42,86.26,114.7,15.21,Y,,Y,10.01,42762,121,117,4,0,0.98,0.1,,0,6.44,11.9,11.75,15.62,2.07,30.18,5.694239437,3355,221.67,73.44,10,,,,SmallCap
GUJAPOLLO,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,172.55,-1.16,172.1,169.3,-0.002614759,0.019196692,23%,34%,27%,19%,20%,,179.75,4%,23.62,92,179.75,4%,42775,3.3079,14.107,10.7991,,,0,0.6469,13.8587,-0.3986,-4.1002,-0.8613,Y,,Y,23.62,42775,3,3,0,0,1.44,0.26,,0,0.47,10.15,-0.29,-2.76,-0.58,12.87,0.294963551,236,3.3079,13.66,10,,,,MiniCap
GUJFLUORO,Buy,CHEMICALS,0,0,742.65,-1.56,752.9,724.5,0.013614026,0.02505176,51%,63%,57%,41%,-2%,,789.9,6%,22.77,26,816,9%,42775,598.7,291.36,-307.34,,,0,114.51,110.84,66.01,232.63,113.96,Y,,Y,22.77,42775,101,109,-8,0,0.47,0.63,,0,7.24,8.28,4.3,13.41,6.23,35.85,3.404099695,8158,598.7,10.99,1,,,,MidCap
GUJGASLTD,HWV,INFRA-POWER,0,0,786.55,-1.74,785.9,772,-0.000827077,0.01884715,49%,56%,40%,26%,2%,,881,11%,43.44,64,881,11%,42772,152.95,190.01,37.06,G,,0,42.29,71.83,75.89,58.08,20.13,Y,,Y,43.44,42772,147,139,8,0,0.31,0.8,,0,3.07,5.22,5.51,4.22,1.46,11.32,5.121045215,10829,152.95,137.68,10,,,,MidCap
GUJNRECOKE,Exit,METALS AND MINING,#N/A,#N/A,2.55,#N/A,#N/A,#N/A,#N/A,#N/A,-10%,-19%,-9%,-9%,-2%,TB,3.25,22%,0,-0.838815789,4.4,42%,42777,-805.53,-345.16,460.37,,,0,-126.26,-110.1,-108.8,-351.58,-300.73,,,,0,42777,23,23,0,49.37,0,2.71,FB,0,-0.76,-0.67,-0.66,-1.47,-3.21,-6.82,0.650873729,423,-805.53,1657.04,10,,,,MiniCap
GUJNREDVR,Exit,METALS AND MINING,#N/A,#N/A,2.05,#N/A,#N/A,#N/A,#N/A,#N/A,3%,-24%,-7%,-7%,2%,TB,2.95,31%,0,#DIV/0!,3.85,47%,0,0,0,0,,,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,FB,0,0,0,0,0,0,0,0.013910353,0,0,0,0,,,,MiniCap
GULFOILLUB,HWLV,ENERGY-OIL & GAS,CRUDE OIL,Down,772.65,0.3,778,770,0.006876607,0.003441558,44%,32%,19%,6%,10%,,777,1%,32.2,35,891.8,13%,42869,100.3147,88.9822,-11.3325,G,,0,27.5967,30.2262,31.1593,30.0424,26.1781,Y,,Y,32.2,42869,57,61,-4,0,0.9,0.78,,0,5.53,6.05,6.25,6.03,5.26,20.15,1.341004595,3835,100.3147,9.9229,2,,,RS3,SmallCap
GULFPETRO,HWLV,ENERGY-OIL & GAS,0,0,92.2,-0.98,93.6,90.6,0.014957265,0.017660044,55%,17%,5%,9%,5%,,102,10%,23.55,35,103.9,11%,42772,13.5942,14.4313,0.8371,,,0,3.3763,3.2208,7.8342,5.5383,1.7631,Y,,Y,23.55,42772,3,3,0,0,0.54,0.86,,0,0.66,0.63,1.54,1.09,0.35,2.67,0.79199542,470,13.5942,25.4922,5,,,,MiniCap
GULPOLY,HWLV,CHEMICALS,#N/A,#N/A,89.7,1.34,92.7,88.15,0.03236246,0.017583664,49%,23%,23%,12%,-1%,,102,12%,16.54,23,102,12%,42777,30.4941,17.845,-12.6491,,,0,4.6546,5.7573,7.4331,7.5496,7.6206,Y,,Y,16.54,42777,5,3,2,0,0.78,0.54,,0,0.99,6.14,7.92,6.99,8.33,31.45,0.234473557,421,30.4941,4.6917,1,,,,MiniCap
GVKPIL,Exit,INFRA-POWER,#N/A,#N/A,6.35,-2.36,6.4,6.2,0.0078125,0.024193548,-10%,20%,9%,-2%,7%,TB,7.7,18%,0,-158.75,7.7,18%,42780,-1400.85,-65.16,1335.69,,,0,-0.71,-13.41,-51.04,-109.35,-6.57,,,,0,42780,35,37,-2,0,0,18.37,FB,0,-0.01,-0.08,-0.32,-0.69,-0.04,-5.92,3.083423204,1003,-1400.85,157.92,1,,,,SmallCap
HANUNG,Exit,TEXTILES AND APPAREL,#N/A,#N/A,4.4,#N/A,#N/A,#N/A,#N/A,#N/A,-35%,2%,-15%,-9%,-2%,TB,5.6,21%,0,-0.033587786,8.65,49%,42780,-1093.4841,-309.3902,784.0939,,,0,-100.9578,-116.2321,-92.2003,-361.6123,-226.5218,,,,0,42780,0,0,,0,0,-1.34,FB,0,-32.75,-37.71,-29.91,-117.31,-73.49,-354.71,0.053612856,14,-1093.4841,30.8228,10,,,,MiniCap
HARITASEAT,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,711.3,#N/A,#N/A,#N/A,#N/A,#N/A,62%,10%,3%,1%,2%,,774.95,8%,20.37,21,881,19%,42873,32.4267,14.5802,-17.8465,,,0,6.5269,4.6226,3.4307,12.8482,4.7158,Y,,Y,20.37,42873,0,5,,0,0.84,0.02,FB,0,8.4,5.95,4.42,16.54,6.07,33.37,0.306660432,553,32.4267,7.769,10,,,RISKY,MiniCap
HARRMALAYA,TA,FMCG-FOOD,0,0,92.85,-0.86,93.95,91.5,0.011708356,0.014754098,71%,54%,18%,5%,11%,,102.45,9%,0,15,102.45,9%,42775,-45.6824,-5.21,40.4724,,,0,2.82,-2.87,-5.16,-22.46,-14.59,Y,,Y,0,42775,30,30,0,0,0,0.95,,0,1.53,-1.56,-2.8,-12.17,-7.91,-24.75,1.686912938,171,-45.6824,18.45,10,,,,MiniCap
HATHWAY,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,40.75,-1.84,41.4,39.95,0.015700483,0.020025031,3%,20%,16%,12%,8%,TB,49.5,18%,0,-19.22169811,49.5,18%,42774,-152.8136,-138.0427,14.7709,,,0,-44.4019,-40.4434,-53.1974,-45.907,-32.5832,,,,0,42774,56,54,2,0,0,1.46,FB,0,-0.53,-0.49,-0.64,-0.55,-0.39,-1.96,1.531027998,3384,-152.8136,166.0989,2,,,,SmallCap
HATSUN,RS,FMCG-FOOD,#N/A,#N/A,611.6,#N/A,#N/A,#N/A,#N/A,#N/A,77%,74%,39%,31%,19%,,674.55,9%,69.7,81,674.55,9%,,60.497,90.0457,29.5487,G,,43.3007,28.8149,32.1584,29.0724,-16.7928,17.5574,Y,,Y,69.7,42852,19,14,5,0,0.65,2.25,FB,2.85,1.89,2.11,2.67,-1.54,1.62,5.57,1.042993256,9307,60.497,15.2202,1,,,,MidCap
HAVELLS,HWV,REALTY-HOUSEHOLD,#N/A,#N/A,502.15,3.18,526.3,498.6,0.045886377,0.007119936,51%,62%,21%,24%,8%,,494.6,-2%,38.63,51,504.8,1%,42867,1208.91,444.34,-764.57,,,0,152.97,145.79,145.58,366.49,119.93,Y,,Y,38.63,42867,455,443,12,0,1.19,0.03,,0,2.45,2.33,2.33,5.87,1.92,19.36,64.00971016,31391,1208.91,62.49,1,,,,LargeCap
HBLPOWER,HWLV,INFRA-MACHINERY EQUIPMENT,0,0,46.45,-0.65,47.5,45.15,0.022105263,0.028792913,20%,36%,18%,11%,9%,TB,51.35,10%,44.81,35,51.35,10%,42779,25.1938,24.1017,-1.0921,G,,0,9.2731,9.3117,5.5169,2.2118,4.9284,Y,,Y,44.81,42779,11,11,0,0,0.53,0.93,,0,0.33,0.33,0.18,0.09,0.19,1.03,1.491949741,1175,25.1938,25.3,1,,,,SmallCap
HBSTOCK,HWLV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,26.9,-2.04,27.5,25.5,0.021818182,0.054901961,136%,76%,64%,65%,63%,,26.3,-2%,12.95,6,28.5,6%,42881,0.8369,5.0555,4.2186,,,0,2.6883,1.6342,0.733,0.0097,0.8204,Y,,Y,12.95,42881,13,12,1,0,0,0,,0,1.13,0.69,0.31,0,0.34,1.45,0.034327281,65,0.8369,24.3354,10,,,,MiniCap
HCC,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,43.5,1.84,45.1,43.7,0.035476718,-0.004576659,106%,23%,1%,11%,10%,,48.1,10%,73.91,181,48.1,10%,,-350.07,38.51,388.58,,,20.91,4.55,23.08,10.88,19.14,19.38,,,,73.91,42859,125,96,29,85.38,0,14.06,FB,0.25,0.06,0.3,0.14,0.25,0.25,-4.1,24.9689721,4397,-350.07,77.92,1,,,,SmallCap
HCG,Exit,PHARMA,0,0,258.4,1.43,264.95,254.05,0.024721646,0.017122614,33%,15%,8%,9%,13%,,289,11%,116.07,104,289,11%,42774,5.45,14.95,9.5,G,,0,5.04,4.9,5.01,4.82,-1.03,Y,,Y,116.07,42774,57,52,5,0,0,0.5,FB,0,0.62,0.58,0.58,0.49,-0.23,0.17,2.365282415,2215,5.45,85.08,10,,,,SmallCap
